Date Quarter Ended,Quarter,Industry Code,Industry Type,Industry,GDP (millions of current dollars)
09/30/2009,2009Q3,45,Private Industries,Information,4478
09/30/2009,2009Q3,51,Private Industries,Finance and insurance,13766
09/30/2009,2009Q3,56,Private Industries,Real estate and rental and leasing,14375
09/30/2009,2009Q3,60,Private Industries,"Professional, scientific, and technical services",4097
09/30/2009,2009Q3,64,Private Industries,Management of companies and enterprises,1378
09/30/2009,2009Q3,65,Private Industries,Administrative and waste management services,2802
09/30/2009,2009Q3,69,Private Industries,Educational services,1274
09/30/2009,2009Q3,70,Private Industries,Health care and social assistance,10050
09/30/2009,2009Q3,75,Private Industries,"Arts, entertainment, and recreation",1084
09/30/2009,2009Q3,78,Private Industries,Accommodation and food services,2709
09/30/2009,2009Q3,81,Private Industries,"Other services, except government",3003
09/30/2009,2009Q3,82,Government,Government,17090
12/31/2009,2009Q4,3,Private Industries,"Agriculture, forestry, fishing, and hunting",8358
12/31/2009,2009Q4,6,Private Industries,Mining,320
12/31/2009,2009Q4,10,Private Industries,Utilities,3053
12/31/2009,2009Q4,11,Private Industries,Construction,5326
12/31/2009,2009Q4,12,Private Industries,Manufacturing,26896
12/31/2009,2009Q4,34,Private Industries,Wholesale trade,8025
12/31/2009,2009Q4,35,Private Industries,Retail trade,8163
12/31/2009,2009Q4,36,Private Industries,Transportation and warehousing,4714
12/31/2009,2009Q4,45,Private Industries,Information,4581
12/31/2009,2009Q4,51,Private Industries,Finance and insurance,13823
12/31/2009,2009Q4,56,Private Industries,Real estate and rental and leasing,14440
12/31/2009,2009Q4,60,Private Industries,"Professional, scientific, and technical services",4072
12/31/2009,2009Q4,64,Private Industries,Management of companies and enterprises,1325
12/31/2009,2009Q4,65,Private Industries,Administrative and waste management services,2824
12/31/2009,2009Q4,69,Private Industries,Educational services,1276
12/31/2009,2009Q4,70,Private Industries,Health care and social assistance,10050
12/31/2009,2009Q4,75,Private Industries,"Arts, entertainment, and recreation",1025
12/31/2009,2009Q4,78,Private Industries,Accommodation and food services,2645
12/31/2009,2009Q4,81,Private Industries,"Other services, except government",2984
12/31/2009,2009Q4,82,Government,Government,17315
03/31/2010,2010Q1,3,Private Industries,"Agriculture, forestry, fishing, and hunting",6440
03/31/2010,2010Q1,6,Private Industries,Mining,321
03/31/2010,2010Q1,10,Private Industries,Utilities,2690
03/31/2010,2010Q1,11,Private Industries,Construction,5269
03/31/2010,2010Q1,12,Private Industries,Manufacturing,26169
03/31/2010,2010Q1,34,Private Industries,Wholesale trade,8134
03/31/2010,2010Q1,35,Private Industries,Retail trade,8162
03/31/2010,2010Q1,36,Private Industries,Transportation and warehousing,4756
03/31/2010,2010Q1,45,Private Industries,Information,4519
03/31/2010,2010Q1,51,Private Industries,Finance and insurance,13794
03/31/2010,2010Q1,56,Private Industries,Real estate and rental and leasing,14062
03/31/2010,2010Q1,60,Private Industries,"Professional, scientific, and technical services",4129
03/31/2010,2010Q1,64,Private Industries,Management of companies and enterprises,1390
03/31/2010,2010Q1,65,Private Industries,Administrative and waste management services,2954
03/31/2010,2010Q1,69,Private Industries,Educational services,1294
03/31/2010,2010Q1,70,Private Industries,Health care and social assistance,9875
03/31/2010,2010Q1,75,Private Industries,"Arts, entertainment, and recreation",1140
03/31/2010,2010Q1,78,Private Industries,Accommodation and food services,2725
03/31/2010,2010Q1,81,Private Industries,"Other services, except government",2981
03/31/2010,2010Q1,82,Government,Government,17408
06/30/2010,2010Q2,3,Private Industries,"Agriculture, forestry, fishing, and hunting",7128
06/30/2010,2010Q2,6,Private Industries,Mining,335
06/30/2010,2010Q2,10,Private Industries,Utilities,2809
